trial,value,params
121,9.173619651503294,"{'alpha': 0.010136582565477238, 'l1_ratio': 0.8660730240275147}"
122,9.173791295022436,"{'alpha': 0.010600054728805673, 'l1_ratio': 0.8633949102113984}"
123,9.17371355043227,"{'alpha': 0.01037740017335175, 'l1_ratio': 0.8643375579756101}"
124,9.173227068837909,"{'alpha': 0.010548844903351305, 'l1_ratio': 0.8996132507685668}"
125,9.173161459953583,"{'alpha': 0.010201118213247925, 'l1_ratio': 0.8992941727526187}"
126,9.173708378309584,"{'alpha': 0.01034016814149066, 'l1_ratio': 0.86400355204539}"
127,9.173206503098308,"{'alpha': 0.010160561047339783, 'l1_ratio': 0.8953339172107657}"
128,9.17318037567172,"{'alpha': 0.010006951553334068, 'l1_ratio': 0.8948824350435468}"
129,9.173231995693637,"{'alpha': 0.010598402909971077, 'l1_ratio': 0.8999754339380178}"
130,9.173294354390336,"{'alpha': 0.010470922639082818, 'l1_ratio': 0.8937161508739268}"
131,9.173169278708185,"{'alpha': 0.010150051781794728, 'l1_ratio': 0.8979230717399002}"
132,9.173267350434589,"{'alpha': 0.01060148988895408, 'l1_ratio': 0.8975571588845419}"
133,9.173973699439776,"{'alpha': 0.013873837248491361, 'l1_ratio': 0.8994322461572017}"
134,9.17317069423493,"{'alpha': 0.010179292576476177, 'l1_ratio': 0.8982604478607635}"
135,9.174088407654732,"{'alpha': 0.01428224564605121, 'l1_ratio': 0.8987488922820345}"
136,9.174104480175064,"{'alpha': 0.014067623968553076, 'l1_ratio': 0.8957113306972053}"
137,9.174169343755292,"{'alpha': 0.014143579440781656, 'l1_ratio': 0.8936767837353409}"
138,9.174000639777738,"{'alpha': 0.013789505863491048, 'l1_ratio': 0.8972279119725814}"
139,9.61834914832272,"{'alpha': 0.6258241276782651, 'l1_ratio': 0.8962891536131286}"
140,9.174001263451741,"{'alpha': 0.013981826865340021, 'l1_ratio': 0.8993660902172133}"
141,9.639450045308712,"{'alpha': 0.6306410277293, 'l1_ratio': 0.8780190814611649}"
142,9.185386709237452,"{'alpha': 0.010162341586049183, 'l1_ratio': 0.2953446436741748}"
143,9.17820674282187,"{'alpha': 0.010150008635249704, 'l1_ratio': 0.623318028606587}"
144,9.17346627365399,"{'alpha': 0.01012755250730401, 'l1_ratio': 0.8762831435143204}"
145,9.173446366649078,"{'alpha': 0.01008436054589121, 'l1_ratio': 0.8769140116396221}"
146,9.175043662797455,"{'alpha': 0.0160448830367949, 'l1_ratio': 0.8810439206022155}"
147,9.175714397201268,"{'alpha': 0.017332244427942994, 'l1_ratio': 0.8731720023814362}"
148,9.223132016979404,"{'alpha': 0.10549244961475951, 'l1_ratio': 0.8767329263873972}"
149,9.175688020804513,"{'alpha': 0.017376602853566077, 'l1_ratio': 0.8744318285587764}"
150,9.17561585076107,"{'alpha': 0.01767915749959137, 'l1_ratio': 0.8796851161753719}"
151,9.17405993372427,"{'alpha': 0.012817177356659685, 'l1_ratio': 0.8824881439014527}"
152,9.174398844222598,"{'alpha': 0.014018295676955917, 'l1_ratio': 0.8823465464231111}"
153,9.368889648157392,"{'alpha': 0.3160988580562121, 'l1_ratio': 0.8812672684834888}"
154,9.173740805665057,"{'alpha': 0.01291847414121358, 'l1_ratio': 0.8997142507098442}"
155,9.173814642512095,"{'alpha': 0.011014623655670134, 'l1_ratio': 0.8690439851532237}"
156,9.173649204799252,"{'alpha': 0.010025690944113274, 'l1_ratio': 0.8620738786371196}"
157,9.173939717560815,"{'alpha': 0.011079294883320889, 'l1_ratio': 0.8628765860608342}"
158,9.17393809260113,"{'alpha': 0.011126375934720984, 'l1_ratio': 0.8637533225233017}"
159,9.173615581656131,"{'alpha': 0.01008230310713689, 'l1_ratio': 0.8653592475484991}"
160,9.174201087851277,"{'alpha': 0.0100231015922841, 'l1_ratio': 0.8270652303645488}"
161,9.174771086979087,"{'alpha': 0.011357951199564436, 'l1_ratio': 0.8237647957547666}"
162,17.889843043566593,"{'alpha': 9.347759829067956, 'l1_ratio': 0.8867319169232586}"
163,9.175537498092448,"{'alpha': 0.013230750246244673, 'l1_ratio': 0.8242015862848173}"
164,9.173971704149285,"{'alpha': 0.012861241234717553, 'l1_ratio': 0.8873964120675177}"
165,9.174216333492044,"{'alpha': 0.010095405200084506, 'l1_ratio': 0.8277814993612407}"
166,9.17411886103724,"{'alpha': 0.01331035663509404, 'l1_ratio': 0.8860376397946815}"
167,9.187113282008067,"{'alpha': 0.013029445648748257, 'l1_ratio': 0.4064478781571154}"
168,9.17371761848857,"{'alpha': 0.012766960880154117, 'l1_ratio': 0.8991109203441443}"
169,9.17419085043698,"{'alpha': 0.014769373000808892, 'l1_ratio': 0.899598020501111}"
170,9.191048812083313,"{'alpha': 0.015489048103670385, 'l1_ratio': 0.3973574178177827}"
171,9.17535488621419,"{'alpha': 0.01543657591644962, 'l1_ratio': 0.8632040827023459}"
172,9.173430255852475,"{'alpha': 0.011455031543695945, 'l1_ratio': 0.8987572800284198}"
