trial,value,params
111,8.892123391134406,"{'alpha': 1.919027895398773, 'fit_intercept': True, 'solver': 'sag'}"
112,8.892166080331911,"{'alpha': 3.5664385492099595, 'fit_intercept': True, 'solver': 'svd'}"
113,8.89275804804916,"{'alpha': 1.8150735768283142, 'fit_intercept': False, 'solver': 'sag'}"
114,8.89275804804916,"{'alpha': 2.182756536677269, 'fit_intercept': False, 'solver': 'sag'}"
115,8.892123391134406,"{'alpha': 1.8858250201112818, 'fit_intercept': True, 'solver': 'sag'}"
116,8.892165879916883,"{'alpha': 18.61694387851342, 'fit_intercept': True, 'solver': 'auto'}"
117,8.892123391134406,"{'alpha': 2.0059402671070328, 'fit_intercept': True, 'solver': 'sag'}"
118,8.892123391134406,"{'alpha': 10.064951758981616, 'fit_intercept': True, 'solver': 'sag'}"
119,8.892123391134406,"{'alpha': 7.59237262424504, 'fit_intercept': True, 'solver': 'sag'}"
120,8.892123391134406,"{'alpha': 8.773100881379245, 'fit_intercept': True, 'solver': 'sag'}"
121,8.892123391134406,"{'alpha': 6.236239934895613, 'fit_intercept': True, 'solver': 'sag'}"
122,8.892123391134406,"{'alpha': 7.832733287199177, 'fit_intercept': True, 'solver': 'sag'}"
123,8.893117633567977,"{'alpha': 10.946771028560535, 'fit_intercept': True, 'solver': 'lsqr'}"
124,8.89311764154807,"{'alpha': 6.673947278964177, 'fit_intercept': True, 'solver': 'lsqr'}"
125,8.89311812664609,"{'alpha': 6.5540141378587675, 'fit_intercept': True, 'solver': 'sparse_cg'}"
126,8.893117146795046,"{'alpha': 8.01838720918584, 'fit_intercept': True, 'solver': 'sparse_cg'}"
127,8.892123391134406,"{'alpha': 7.736082136255658, 'fit_intercept': True, 'solver': 'sag'}"
128,8.892123391134406,"{'alpha': 9.508922039092754, 'fit_intercept': True, 'solver': 'sag'}"
129,8.892123391134406,"{'alpha': 8.859245760971312, 'fit_intercept': True, 'solver': 'sag'}"
130,8.892123391134406,"{'alpha': 3.005792112393081, 'fit_intercept': True, 'solver': 'sag'}"
131,8.892123391134406,"{'alpha': 35.80826960423396, 'fit_intercept': True, 'solver': 'sag'}"
132,8.892123391134406,"{'alpha': 34.946821991845724, 'fit_intercept': True, 'solver': 'sag'}"
133,8.892123391134406,"{'alpha': 37.781333099165536, 'fit_intercept': True, 'solver': 'sag'}"
134,8.892123391134406,"{'alpha': 36.49058248280768, 'fit_intercept': True, 'solver': 'sag'}"
135,8.892166077707955,"{'alpha': 3.133438470097394, 'fit_intercept': True, 'solver': 'svd'}"
136,8.892123391134406,"{'alpha': 36.70575448697787, 'fit_intercept': True, 'solver': 'sag'}"
137,8.892123391134406,"{'alpha': 4.316105785821958, 'fit_intercept': True, 'solver': 'sag'}"
138,8.892123391134406,"{'alpha': 4.063814272845012, 'fit_intercept': True, 'solver': 'sag'}"
139,8.892123391134406,"{'alpha': 4.584599479247336, 'fit_intercept': True, 'solver': 'sag'}"
140,8.892123391134406,"{'alpha': 72.15351664113814, 'fit_intercept': True, 'solver': 'sag'}"
141,8.892123391134406,"{'alpha': 75.68666230809174, 'fit_intercept': True, 'solver': 'sag'}"
142,8.892123391134406,"{'alpha': 83.55868555368473, 'fit_intercept': True, 'solver': 'sag'}"
143,8.892123391134406,"{'alpha': 4.422257021435225, 'fit_intercept': True, 'solver': 'sag'}"
144,8.892166211522264,"{'alpha': 4.103809217379056, 'fit_intercept': True, 'solver': 'auto'}"
145,8.892123391134406,"{'alpha': 18.819731317528724, 'fit_intercept': True, 'solver': 'sag'}"
146,8.892123391134406,"{'alpha': 72.57425413839762, 'fit_intercept': True, 'solver': 'sag'}"
147,8.892123391134406,"{'alpha': 77.49363218850087, 'fit_intercept': True, 'solver': 'sag'}"
148,8.892123391134406,"{'alpha': 69.12360588239606, 'fit_intercept': True, 'solver': 'sag'}"
149,8.892123391134406,"{'alpha': 18.709501394855913, 'fit_intercept': True, 'solver': 'sag'}"
150,8.892123391134406,"{'alpha': 17.93520761746033, 'fit_intercept': True, 'solver': 'sag'}"
151,8.892123391134406,"{'alpha': 17.17537306514132, 'fit_intercept': True, 'solver': 'sag'}"
152,8.892123391134406,"{'alpha': 19.32272962780456, 'fit_intercept': True, 'solver': 'sag'}"
153,8.892123391134406,"{'alpha': 16.275487992168323, 'fit_intercept': True, 'solver': 'sag'}"
154,8.892123391134406,"{'alpha': 12.070784875542715, 'fit_intercept': True, 'solver': 'sag'}"
155,8.892123391134406,"{'alpha': 12.896568560854606, 'fit_intercept': True, 'solver': 'sag'}"
156,8.892166025424805,"{'alpha': 11.543371008563172, 'fit_intercept': True, 'solver': 'cholesky'}"
157,8.892166036627511,"{'alpha': 11.354518341697062, 'fit_intercept': True, 'solver': 'cholesky'}"
158,8.892123391134406,"{'alpha': 123.16772801395864, 'fit_intercept': True, 'solver': 'sag'}"
159,8.892123391134406,"{'alpha': 25.340853657519453, 'fit_intercept': True, 'solver': 'sag'}"
160,8.892123391134406,"{'alpha': 122.65549247118369, 'fit_intercept': True, 'solver': 'sag'}"
161,8.892123391134406,"{'alpha': 25.485957806657936, 'fit_intercept': True, 'solver': 'sag'}"
162,8.892123391134406,"{'alpha': 26.82782725684062, 'fit_intercept': True, 'solver': 'sag'}"
163,8.892123391134406,"{'alpha': 120.41215723793339, 'fit_intercept': True, 'solver': 'sag'}"
164,8.892123391134406,"{'alpha': 106.72431552716229, 'fit_intercept': True, 'solver': 'sag'}"
165,8.892828209455,"{'alpha': 105.17678074310435, 'fit_intercept': False, 'solver': 'svd'}"
166,8.89275804804916,"{'alpha': 141.5119903470821, 'fit_intercept': False, 'solver': 'sag'}"
167,8.892829139396301,"{'alpha': 45.271462070884446, 'fit_intercept': False, 'solver': 'svd'}"
168,8.892123391134406,"{'alpha': 6.118322511129382, 'fit_intercept': True, 'solver': 'sag'}"
169,8.892123391134406,"{'alpha': 5.447660551494518, 'fit_intercept': True, 'solver': 'sag'}"
170,8.892123391134406,"{'alpha': 5.3273661063538205, 'fit_intercept': True, 'solver': 'sag'}"
171,8.892123391134406,"{'alpha': 1.2863660756712352, 'fit_intercept': True, 'solver': 'sag'}"
